hours, minutes, seconds, microseconds, status, latitude, North/South, longitude, East/West
Initializing GPS
18,46,6,218093,MTKGPS*08
,,,,
18,46,6,731093,MTKGPS*08
,,,,
18,46,7,247093,MTKGPS*08
,,,,
18,46,7,760092,MTKGPS*08
,,,,
18,46,8,276092,MTKGPS*08
,,,,
18,46,8,789095,MTKGPS*08
,,,,
18,46,9,302094,MTKGPS*08
,,,,
18,46,9,815094,MTKGPS*08
,,,,
18,46,10,331093,MTKGPS*08
,,,,
18,46,10,847091,MTKGPS*08
,,,,
18,46,11,360091,MTKGPS*08
,,,,
18,46,11,873093,MTKGPS*08
,,,,
18,46,12,386092,MTKGPS*08
,,,,
18,46,12,898095,MTKGPS*08
,,,,
18,46,13,411095,MTKGPS*08
,,,,
18,46,13,924091,MTKGPS*08
,,,,
18,46,14,440094,MTKGPS*08
,,,,
18,46,14,953092,MTKGPS*08
,,,,
18,46,15,466094,MTKGPS*08
,,,,
18,46,15,979092,MTKGPS*08
,,,,
18,46,16,491093,MTKGPS*08
,,,,
18,46,17,5092,MTKGPS*08
,,,,
18,46,17,521091,MTKGPS*08
,,,,
18,46,18,35092,MTKGPS*08
,,,,
18,46,18,553091,MTKGPS*08
,,,,
18,46,19,70093,MTKGPS*08
,,,,
18,46,19,583447,MTKGPS*08
,,,,
18,46,20,96090,MTKGPS*08
,,,,
18,46,20,609034,MTKGPS*08
,,,,
18,46,21,125093,MTKGPS*08
,,,,
18,46,21,638096,MTKGPS*08
,,,,
18,46,22,157094,MTKGPS*08
,,,,
18,46,22,671094,MTKGPS*08
,,,,
18,46,23,184092,MTKGPS*08
,,,,
18,46,23,697094,MTKGPS*08
,,,,
18,46,24,213091,MTKGPS*08
,,,,
18,46,24,726093,MTKGPS*08
,,,,
18,46,25,239145,MTKGPS*08
,,,,
18,46,25,752093,MTKGPS*08
,,,,
18,46,26,265091,MTKGPS*08
,,,,
18,46,26,781091,MTKGPS*08
,,,,
18,46,27,294090,MTKGPS*08
,,,,
18,46,27,810090,MTKGPS*08
,,,,
18,46,28,323036,MTKGPS*08
,,,,
18,46,28,836094,MTKGPS*08
,,,,
18,46,29,349096,MTKGPS*08
,,,,
18,46,29,862094,MTKGPS*08
,,,,
18,46,30,375093,MTKGPS*08
,,,,
18,46,30,888093,MTKGPS*08
,,,,
18,46,31,409093,MTKGPS*08
,,,,
18,46,31,923093,MTKGPS*08
,,,,
18,46,32,436093,MTKGPS*08
,,,,
18,46,32,949091,MTKGPS*08
,,,,
18,46,33,462094,MTKGPS*08
,,,,
18,46,33,975091,MTKGPS*08
,,,,
18,46,34,491093,MTKGPS*08
,,,,
18,46,35,10094,MTKGPS*08
,,,,
18,46,35,522665,MTKGPS*08
,,,,
18,46,36,40093,MTKGPS*08
,,,,
18,46,36,553092,MTKGPS*08
,,,,
18,46,37,65096,MTKGPS*08
,,,,
18,46,37,578093,MTKGPS*08
,,,,
18,46,38,94094,MTKGPS*08
,,,,
18,46,38,607093,MTKGPS*08
,,,,
18,46,39,119094,MTKGPS*08
,,,,
18,46,39,632094,MTKGPS*08
